data_id;language;form;age;gender;mom_ed;comprehension;production
29904;Croatian;WG;14;Female;NA;302;39
29905;Croatian;WG;13;Female;NA;54;12
29906;Croatian;WG;16;Female;NA;213;19
29907;Croatian;WG;16;Female;NA;333;222
29908;Croatian;WG;9;Female;NA;0;0
29909;Croatian;WG;8;Female;NA;0;0
29910;Croatian;WG;13;Male;NA;111;0
29911;Croatian;WG;10;Male;NA;174;0
29912;Croatian;WG;11;Female;NA;61;4
29913;Croatian;WG;12;Female;NA;109;13
29914;Croatian;WG;14;Female;NA;74;3
29915;Croatian;WG;15;Female;NA;165;76
29916;Croatian;WG;9;Female;NA;46;0
29917;Croatian;WG;10;Male;NA;59;3
29918;Croatian;WG;14;Male;NA;66;1
29919;Croatian;WG;16;Male;NA;178;99
29920;Croatian;WG;8;Male;NA;16;0
29921;Croatian;WG;11;Male;NA;78;6
29922;Croatian;WG;8;Male;NA;16;0
29923;Croatian;WG;9;Female;NA;22;0
29924;Croatian;WG;9;Female;NA;24;0
29925;Croatian;WG;15;Female;NA;228;18
29926;Croatian;WG;14;Female;NA;132;2
29927;Croatian;WG;13;Female;NA;110;2
29928;Croatian;WG;13;Female;NA;58;1
29929;Croatian;WG;16;Male;NA;86;9
29930;Croatian;WG;8;Male;NA;11;0
29931;Croatian;WG;14;Male;NA;84;1
29932;Croatian;WG;13;Male;NA;84;0
29933;Croatian;WG;15;Female;NA;261;37
29934;Croatian;WG;9;Female;NA;27;1
29935;Croatian;WG;16;Female;NA;145;103
29936;Croatian;WG;15;Female;NA;129;0
29937;Croatian;WG;12;Female;NA;44;5
29938;Croatian;WG;15;Female;NA;51;25
29939;Croatian;WG;15;Female;NA;395;78
29940;Croatian;WG;16;Female;NA;396;235
29941;Croatian;WG;12;Male;NA;0;0
29942;Croatian;WG;8;Male;NA;0;0
29943;Croatian;WG;14;Male;NA;199;22
29944;Croatian;WG;14;Male;NA;86;5
29945;Croatian;WG;15;Male;NA;136;2
29946;Croatian;WG;9;Female;NA;9;7
29947;Croatian;WG;11;Male;NA;19;0
29948;Croatian;WG;11;Male;NA;8;0
29949;Croatian;WG;11;Female;NA;21;3
29950;Croatian;WG;15;Female;NA;155;22
29951;Croatian;WG;8;Male;NA;4;2
29952;Croatian;WG;14;Male;NA;395;153
29953;Croatian;WG;8;Female;NA;1;0
29954;Croatian;WG;9;Female;NA;396;4
29955;Croatian;WG;11;Male;NA;45;4
29956;Croatian;WG;11;Male;NA;109;5
29957;Croatian;WG;13;Male;NA;49;0
29958;Croatian;WG;16;Male;NA;396;11
29959;Croatian;WG;16;Male;NA;202;141
29960;Croatian;WG;11;Female;NA;290;25
29961;Croatian;WG;10;Female;NA;33;12
29962;Croatian;WG;10;Female;NA;18;3
29963;Croatian;WG;14;Female;NA;142;12
29964;Croatian;WG;10;Female;NA;27;3
29965;Croatian;WG;14;Female;NA;182;23
29966;Croatian;WG;12;Female;NA;120;22
29967;Croatian;WG;16;Female;NA;291;122
29968;Croatian;WG;12;Female;NA;60;11
29969;Croatian;WG;16;Female;NA;160;52
29970;Croatian;WG;14;Male;NA;182;0
29971;Croatian;WG;12;Male;NA;59;8
29972;Croatian;WG;13;Male;NA;23;5
29973;Croatian;WG;12;Male;NA;38;0
29974;Croatian;WG;11;Male;NA;79;9
29975;Croatian;WG;10;Male;NA;36;6
29976;Croatian;WG;11;Male;NA;13;2
29977;Croatian;WG;13;Male;NA;254;46
29978;Croatian;WG;13;Male;NA;254;23
29979;Croatian;WG;16;Male;NA;396;177
29980;Croatian;WG;15;Female;NA;302;23
29981;Croatian;WG;13;Female;NA;24;4
29982;Croatian;WG;15;Female;NA;42;11
29983;Croatian;WG;12;Male;NA;68;0
29984;Croatian;WG;13;Male;NA;83;9
29985;Croatian;WG;14;Female;NA;84;25
29986;Croatian;WG;9;Male;NA;10;0
29987;Croatian;WG;16;Male;NA;216;21
29988;Croatian;WG;11;Male;NA;42;7
29989;Croatian;WG;13;Male;NA;150;18
29990;Croatian;WG;8;Male;NA;8;0
29991;Croatian;WG;11;Male;NA;42;7
29992;Croatian;WG;11;Female;NA;170;11
29993;Croatian;WG;9;Female;NA;10;0
29994;Croatian;WG;8;Female;NA;2;0
29995;Croatian;WG;8;Female;NA;2;0
29996;Croatian;WG;16;Female;NA;128;22
29997;Croatian;WG;15;Female;NA;71;8
29998;Croatian;WG;16;Female;NA;120;55
29999;Croatian;WG;16;Female;NA;182;18
30000;Croatian;WG;13;Female;NA;108;7
30001;Croatian;WG;10;Female;NA;87;3
30002;Croatian;WG;13;Male;NA;111;15
30003;Croatian;WG;12;Male;NA;97;0
30004;Croatian;WG;14;Male;NA;99;10
30005;Croatian;WG;10;Male;NA;19;8
30006;Croatian;WG;14;Male;NA;74;24
30007;Croatian;WG;12;Male;NA;92;3
30008;Croatian;WG;11;Male;NA;108;1
30009;Croatian;WG;12;Male;NA;48;8
30010;Croatian;WG;10;Male;NA;9;4
30011;Croatian;WG;15;Male;NA;106;0
30012;Croatian;WG;13;Female;NA;159;1
30013;Croatian;WG;9;Female;NA;20;0
30014;Croatian;WG;16;Female;NA;96;5
30015;Croatian;WG;8;Female;NA;20;3
30016;Croatian;WG;14;Female;NA;71;10
30017;Croatian;WG;12;Female;NA;94;11
30018;Croatian;WG;16;Female;NA;172;53
30019;Croatian;WG;11;Female;NA;27;7
30020;Croatian;WG;13;Female;NA;40;6
30021;Croatian;WG;12;Male;NA;70;15
30022;Croatian;WG;12;Male;NA;62;2
30023;Croatian;WG;10;Male;NA;19;6
30024;Croatian;WG;12;Male;NA;125;4
30025;Croatian;WG;16;Female;NA;28;7
30026;Croatian;WG;16;Female;NA;149;64
30027;Croatian;WG;16;Female;NA;227;181
30028;Croatian;WG;15;Female;NA;109;14
30029;Croatian;WG;14;Female;NA;189;35
30030;Croatian;WG;14;Female;NA;56;6
30031;Croatian;WG;13;Female;NA;135;15
30032;Croatian;WG;10;Female;NA;5;3
30033;Croatian;WG;9;Female;NA;19;2
30034;Croatian;WG;8;Male;NA;17;1
30035;Croatian;WG;8;Male;NA;2;0
30036;Croatian;WG;9;Male;NA;12;0
30037;Croatian;WG;12;Male;NA;88;7
30038;Croatian;WG;12;Male;NA;57;2
30039;Croatian;WG;13;Male;NA;200;15
30040;Croatian;WG;16;Male;NA;193;21
30041;Croatian;WG;11;Male;NA;61;14
30042;Croatian;WG;11;Male;NA;13;2
30043;Croatian;WG;12;Male;NA;396;2
30044;Croatian;WG;13;Male;NA;219;3
30045;Croatian;WG;15;Male;NA;68;1
30046;Croatian;WG;8;Male;NA;47;0
30047;Croatian;WG;14;Female;NA;141;13
30048;Croatian;WG;15;Female;NA;179;13
30049;Croatian;WG;10;Female;NA;42;2
30050;Croatian;WG;12;Female;NA;162;19
30051;Croatian;WG;15;Female;NA;346;39
30052;Croatian;WG;14;Female;NA;203;3
30053;Croatian;WG;8;Female;NA;13;1
30054;Croatian;WG;10;Male;NA;41;8
30055;Croatian;WG;12;Male;NA;61;10
30056;Croatian;WG;12;Male;NA;95;26
30057;Croatian;WG;10;Male;NA;43;16
30058;Croatian;WG;10;Female;NA;63;18
30059;Croatian;WG;13;Male;NA;115;17
30060;Croatian;WG;14;Male;NA;285;175
30061;Croatian;WG;13;Female;NA;185;17
30062;Croatian;WG;12;Female;NA;51;8
30063;Croatian;WG;10;Male;NA;108;7
30064;Croatian;WG;10;Male;NA;37;12
30065;Croatian;WG;9;Male;NA;48;0
30066;Croatian;WG;9;Female;NA;26;2
30067;Croatian;WG;9;Male;NA;117;6
30068;Croatian;WG;8;Male;NA;14;2
30069;Croatian;WG;16;Female;NA;30;3
30070;Croatian;WG;12;Male;NA;73;12
30071;Croatian;WS;30;Female;NA;462;462
30072;Croatian;WS;29;Female;NA;527;527
30073;Croatian;WS;27;Female;NA;400;400
30074;Croatian;WS;24;Female;NA;448;448
30075;Croatian;WS;24;Female;NA;315;315
30076;Croatian;WS;21;Female;NA;274;274
30077;Croatian;WS;20;Female;NA;286;286
30078;Croatian;WS;19;Female;NA;287;287
30079;Croatian;WS;18;Female;NA;56;56
30080;Croatian;WS;16;Female;NA;9;9
30081;Croatian;WS;17;Male;NA;68;68
30082;Croatian;WS;18;Male;NA;51;51
30083;Croatian;WS;21;Male;NA;17;17
30084;Croatian;WS;24;Male;NA;448;448
30085;Croatian;WS;25;Male;NA;132;132
30086;Croatian;WS;26;Male;NA;282;282
30087;Croatian;WS;27;Male;NA;219;219
30088;Croatian;WS;29;Male;NA;570;570
30089;Croatian;WS;30;Male;NA;710;710
30090;Croatian;WS;30;Female;NA;409;409
30091;Croatian;WS;27;Female;NA;300;300
30092;Croatian;WS;28;Male;NA;444;444
30093;Croatian;WS;23;Female;NA;108;108
30094;Croatian;WS;29;Male;NA;464;464
30095;Croatian;WS;17;Male;NA;62;62
30096;Croatian;WS;24;Male;NA;86;86
30097;Croatian;WS;18;Male;NA;246;246
30098;Croatian;WS;26;Male;NA;97;97
30099;Croatian;WS;25;Female;NA;450;450
30100;Croatian;WS;17;Female;NA;213;213
30101;Croatian;WS;19;Female;NA;40;40
30102;Croatian;WS;23;Female;NA;456;456
30103;Croatian;WS;25;Female;NA;614;614
30104;Croatian;WS;17;Female;NA;9;9
30105;Croatian;WS;24;Female;NA;345;345
30106;Croatian;WS;29;Male;NA;449;449
30107;Croatian;WS;18;Male;NA;121;121
30108;Croatian;WS;28;Male;NA;344;344
30109;Croatian;WS;16;Male;NA;16;16
30110;Croatian;WS;19;Male;NA;75;75
30111;Croatian;WS;22;Male;NA;60;60
30112;Croatian;WS;28;Male;NA;536;536
30113;Croatian;WS;30;Female;NA;543;543
30114;Croatian;WS;27;Female;NA;349;349
30115;Croatian;WS;25;Female;NA;325;325
30116;Croatian;WS;18;Female;NA;36;36
30117;Croatian;WS;17;Female;NA;91;91
30118;Croatian;WS;30;Male;NA;567;567
30119;Croatian;WS;28;Male;NA;312;312
30120;Croatian;WS;26;Male;NA;329;329
30121;Croatian;WS;26;Male;NA;184;184
30122;Croatian;WS;21;Male;NA;108;108
30123;Croatian;WS;21;Male;NA;50;50
30124;Croatian;WS;20;Male;NA;95;95
30125;Croatian;WS;26;Male;NA;324;324
30126;Croatian;WS;25;Male;NA;391;391
30127;Croatian;WS;28;Male;NA;239;239
30128;Croatian;WS;18;Male;NA;24;24
30129;Croatian;WS;25;Male;NA;335;335
30130;Croatian;WS;19;Male;NA;87;87
30131;Croatian;WS;24;Male;NA;374;374
30132;Croatian;WS;23;Male;NA;172;172
30133;Croatian;WS;28;Male;NA;343;343
30134;Croatian;WS;29;Female;NA;240;240
30135;Croatian;WS;26;Female;NA;379;379
30136;Croatian;WS;23;Female;NA;101;101
30137;Croatian;WS;21;Female;NA;136;136
30138;Croatian;WS;17;Female;NA;47;47
30139;Croatian;WS;18;Female;NA;14;14
30140;Croatian;WS;30;Female;NA;391;391
30141;Croatian;WS;20;Female;NA;26;26
30142;Croatian;WS;17;Female;NA;57;57
30143;Croatian;WS;28;Female;NA;540;540
30144;Croatian;WS;24;Female;NA;91;91
30145;Croatian;WS;22;Female;NA;82;82
30146;Croatian;WS;30;Female;NA;548;548
30147;Croatian;WS;22;Female;NA;181;181
30148;Croatian;WS;24;Female;NA;343;343
30149;Croatian;WS;26;Female;NA;229;229
30150;Croatian;WS;21;Female;NA;23;23
30151;Croatian;WS;25;Female;NA;296;296
30152;Croatian;WS;22;Female;NA;137;137
30153;Croatian;WS;25;Female;NA;235;235
30154;Croatian;WS;29;Female;NA;574;574
30155;Croatian;WS;16;Male;NA;12;12
30156;Croatian;WS;23;Male;NA;41;41
30157;Croatian;WS;27;Male;NA;357;357
30158;Croatian;WS;28;Male;NA;425;425
30159;Croatian;WS;29;Male;NA;390;390
30160;Croatian;WS;25;Male;NA;410;410
30161;Croatian;WS;20;Male;NA;238;238
30162;Croatian;WS;23;Male;NA;73;73
30163;Croatian;WS;27;Male;NA;338;338
30164;Croatian;WS;30;Male;NA;531;531
30165;Croatian;WS;18;Male;NA;98;98
30166;Croatian;WS;28;Female;NA;408;408
30167;Croatian;WS;19;Female;NA;44;44
30168;Croatian;WS;21;Female;NA;212;212
30169;Croatian;WS;22;Female;NA;43;43
30170;Croatian;WS;23;Female;NA;396;396
30171;Croatian;WS;25;Female;NA;547;547
30172;Croatian;WS;26;Female;NA;351;351
30173;Croatian;WS;28;Female;NA;483;483
30174;Croatian;WS;29;Female;NA;420;420
30175;Croatian;WS;30;Female;NA;395;395
30176;Croatian;WS;17;Male;NA;21;21
30177;Croatian;WS;18;Male;NA;25;25
30178;Croatian;WS;18;Male;NA;70;70
30179;Croatian;WS;20;Male;NA;547;547
30180;Croatian;WS;24;Male;NA;121;121
30181;Croatian;WS;25;Male;NA;53;53
30182;Croatian;WS;26;Male;NA;362;362
30183;Croatian;WS;26;Male;NA;591;591
30184;Croatian;WS;27;Male;NA;655;655
30185;Croatian;WS;30;Male;NA;408;408
30186;Croatian;WS;20;Female;NA;185;185
30187;Croatian;WS;21;Female;NA;34;34
30188;Croatian;WS;23;Female;NA;105;105
30189;Croatian;WS;18;Female;NA;24;24
30190;Croatian;WS;17;Male;NA;19;19
30191;Croatian;WS;29;Female;NA;233;233
30192;Croatian;WS;26;Male;NA;348;348
30193;Croatian;WS;23;Female;NA;156;156
30194;Croatian;WS;20;Female;NA;104;104
30195;Croatian;WS;18;Female;NA;196;196
30196;Croatian;WS;16;Male;NA;14;14
30197;Croatian;WS;19;Male;NA;32;32
30198;Croatian;WS;22;Male;NA;166;166
30199;Croatian;WS;24;Male;NA;307;307
30200;Croatian;WS;24;Male;NA;539;539
30201;Croatian;WS;30;Female;NA;456;456
30202;Croatian;WS;29;Female;NA;145;145
30203;Croatian;WS;26;Female;NA;447;447
30204;Croatian;WS;24;Female;NA;303;303
30205;Croatian;WS;24;Female;NA;272;272
30206;Croatian;WS;23;Female;NA;260;260
30207;Croatian;WS;20;Female;NA;191;191
30208;Croatian;WS;19;Female;NA;148;148
30209;Croatian;WS;29;Male;NA;561;561
30210;Croatian;WS;23;Male;NA;380;380
30211;Croatian;WS;21;Male;NA;150;150
30212;Croatian;WS;20;Male;NA;48;48
30213;Croatian;WS;29;Female;NA;341;341
30214;Croatian;WS;29;Female;NA;307;307
30215;Croatian;WS;29;Female;NA;510;510
30216;Croatian;WS;28;Female;NA;529;529
30217;Croatian;WS;26;Female;NA;419;419
30218;Croatian;WS;24;Female;NA;293;293
30219;Croatian;WS;22;Female;NA;310;310
30220;Croatian;WS;19;Female;NA;217;217
30221;Croatian;WS;16;Female;NA;8;8
30222;Croatian;WS;17;Male;NA;23;23
30223;Croatian;WS;17;Male;NA;49;49
30224;Croatian;WS;19;Male;NA;297;297
30225;Croatian;WS;18;Male;NA;80;80
30226;Croatian;WS;19;Male;NA;65;65
30227;Croatian;WS;20;Male;NA;15;15
30228;Croatian;WS;24;Male;NA;151;151
30229;Croatian;WS;25;Male;NA;216;216
30230;Croatian;WS;25;Male;NA;136;136
30231;Croatian;WS;26;Male;NA;644;644
30232;Croatian;WS;27;Male;NA;367;367
30233;Croatian;WS;28;Male;NA;515;515
30234;Croatian;WS;17;Male;NA;15;15
30235;Croatian;WS;18;Male;NA;88;88
30236;Croatian;WS;19;Male;NA;44;44
30237;Croatian;WS;20;Male;NA;119;119
30238;Croatian;WS;21;Male;NA;211;211
30239;Croatian;WS;23;Male;NA;239;239
30240;Croatian;WS;24;Male;NA;221;221
30241;Croatian;WS;25;Male;NA;280;280
30242;Croatian;WS;28;Male;NA;481;481
30243;Croatian;WS;16;Female;NA;26;26
30244;Croatian;WS;17;Female;NA;78;78
30245;Croatian;WS;17;Female;NA;78;78
30246;Croatian;WS;22;Female;NA;273;273
30247;Croatian;WS;27;Female;NA;381;381
30248;Croatian;WS;27;Female;NA;553;553
30249;Croatian;WS;29;Female;NA;527;527
30250;Croatian;WS;29;Female;NA;537;537
30251;Croatian;WS;17;Female;NA;22;22
30252;Croatian;WS;20;Female;NA;146;146
30253;Croatian;WS;23;Female;NA;446;446
30254;Croatian;WS;20;Female;NA;62;62
30255;Croatian;WS;28;Female;NA;443;443
30256;Croatian;WS;21;Female;NA;238;238
30257;Croatian;WS;21;Female;NA;141;141
30258;Croatian;WS;23;Female;NA;254;254
30259;Croatian;WS;22;Female;NA;305;305
30260;Croatian;WS;18;Female;NA;22;22
30261;Croatian;WS;26;Male;NA;114;114
30262;Croatian;WS;16;Male;NA;30;30
30263;Croatian;WS;25;Male;NA;207;207
30264;Croatian;WS;23;Male;NA;127;127
30265;Croatian;WS;21;Male;NA;37;37
30266;Croatian;WS;22;Male;NA;419;419
30267;Croatian;WS;22;Male;NA;165;165
30268;Croatian;WS;22;Female;NA;148;148
30269;Croatian;WS;21;Female;NA;285;285
30270;Croatian;WS;19;Female;NA;21;21
30271;Croatian;WS;23;Female;NA;37;37
30272;Croatian;WS;16;Female;NA;72;72
30273;Croatian;WS;29;Female;NA;220;220
30274;Croatian;WS;18;Female;NA;82;82
30275;Croatian;WS;19;Female;NA;27;27
30276;Croatian;WS;24;Male;NA;175;175
30277;Croatian;WS;25;Male;NA;198;198
30278;Croatian;WS;26;Male;NA;246;246
30279;Croatian;WS;20;Male;NA;227;227
30280;Croatian;WS;20;Male;NA;23;23
30281;Croatian;WS;28;Male;NA;270;270
30282;Croatian;WS;30;Male;NA;350;350
30283;Croatian;WS;21;Male;NA;409;409
30284;Croatian;WS;24;Male;NA;209;209
30285;Croatian;WS;26;Male;NA;142;142
30286;Croatian;WS;29;Male;NA;288;288
30287;Croatian;WS;17;Male;NA;58;58
30288;Croatian;WS;21;Female;NA;232;232
30289;Croatian;WS;26;Female;NA;519;519
30290;Croatian;WS;18;Female;NA;320;320
30291;Croatian;WS;24;Female;NA;186;186
30292;Croatian;WS;25;Female;NA;458;458
30293;Croatian;WS;28;Female;NA;680;680
30294;Croatian;WS;29;Female;NA;490;490
30295;Croatian;WS;17;Female;NA;15;15
30296;Croatian;WS;22;Female;NA;395;395
30297;Croatian;WS;24;Female;NA;258;258
30298;Croatian;WS;26;Male;NA;305;305
30299;Croatian;WS;27;Male;NA;465;465
30300;Croatian;WS;23;Male;NA;194;194
30301;Croatian;WS;28;Male;NA;315;315
30302;Croatian;WS;18;Male;NA;10;10
30303;Croatian;WS;21;Male;NA;64;64
30304;Croatian;WS;25;Female;NA;208;208
30305;Croatian;WS;23;Female;NA;495;495
30306;Croatian;WS;25;Female;NA;595;595
30307;Croatian;WS;21;Female;NA;44;44
30308;Croatian;WS;24;Female;NA;395;395
30309;Croatian;WS;30;Female;NA;712;712
30310;Croatian;WS;20;Female;NA;34;34
30311;Croatian;WS;26;Female;NA;612;612
30312;Croatian;WS;27;Female;NA;453;453
30313;Croatian;WS;27;Female;NA;239;239
30314;Croatian;WS;29;Female;NA;480;480
30315;Croatian;WS;20;Female;NA;52;52
30316;Croatian;WS;30;Female;NA;369;369
30317;Croatian;WS;26;Male;NA;169;169
30318;Croatian;WS;30;Male;NA;97;97
30319;Croatian;WS;20;Male;NA;38;38
30320;Croatian;WS;17;Male;NA;14;14
30321;Croatian;WS;24;Male;NA;250;250
30322;Croatian;WS;25;Male;NA;105;105
30323;Croatian;WS;21;Male;NA;19;19
30324;Croatian;WS;21;Male;NA;49;49
30325;Croatian;WS;25;Male;NA;216;216
30326;Croatian;WS;19;Male;NA;8;8
30327;Croatian;WS;27;Female;NA;545;545
30328;Croatian;WS;28;Female;NA;554;554
30329;Croatian;WS;22;Female;NA;125;125
30330;Croatian;WS;20;Female;NA;255;255
30331;Croatian;WS;27;Female;NA;299;299
30332;Croatian;WS;23;Female;NA;448;448
30333;Croatian;WS;30;Male;NA;480;480
30334;Croatian;WS;27;Male;NA;358;358
30335;Croatian;WS;29;Male;NA;273;273
30336;Croatian;WS;30;Male;NA;552;552
30337;Croatian;WS;27;Male;NA;409;409
30338;Croatian;WS;22;Male;NA;262;262
30339;Croatian;WS;24;Female;NA;443;443
30340;Croatian;WS;23;Male;NA;212;212
30341;Croatian;WS;24;Male;NA;466;466
30342;Croatian;WS;28;Female;NA;521;521
30343;Croatian;WS;27;Female;NA;253;253
30344;Croatian;WS;20;Female;NA;149;149
30345;Croatian;WS;24;Female;NA;206;206
30346;Croatian;WS;20;Female;NA;267;267
30347;Croatian;WS;19;Female;NA;35;35
30348;Croatian;WS;20;Female;NA;325;325
30349;Croatian;WS;30;Male;NA;563;563
30350;Croatian;WS;30;Male;NA;307;307
30351;Croatian;WS;25;Male;NA;270;270
30352;Croatian;WS;22;Male;NA;101;101
30353;Croatian;WS;18;Male;NA;114;114
30354;Croatian;WS;28;Male;NA;318;318
30355;Croatian;WS;25;Female;NA;299;299
30356;Croatian;WS;17;Male;NA;57;57
30357;Croatian;WS;26;Female;NA;580;580
30358;Croatian;WS;19;Female;NA;247;247
30359;Croatian;WS;21;Female;NA;296;296
30360;Croatian;WS;27;Male;NA;230;230
30361;Croatian;WS;26;Female;NA;516;516
30362;Croatian;WS;21;Female;NA;338;338
30363;Croatian;WS;29;Female;NA;544;544
30364;Croatian;WS;30;Female;NA;533;533
30365;Croatian;WS;24;Female;NA;249;249
30366;Croatian;WS;24;Male;NA;459;459
30367;Croatian;WS;25;Male;NA;142;142
30368;Croatian;WS;29;Male;NA;456;456
30369;Croatian;WS;17;Male;NA;445;445
30370;Croatian;WS;30;Male;NA;567;567
30371;Croatian;WS;27;Male;NA;478;478
30372;Croatian;WS;21;Male;NA;15;15
30373;Croatian;WS;20;Male;NA;13;13
30374;Croatian;WS;25;Male;NA;99;99
30375;Croatian;WS;25;Female;NA;382;382
30376;Croatian;WS;19;Female;NA;69;69
30377;Croatian;WS;30;Male;NA;460;460
30378;Croatian;WS;30;Male;NA;581;581
30379;Croatian;WS;29;Male;NA;293;293
30380;Croatian;WS;27;Male;NA;264;264
30381;Croatian;WS;24;Male;NA;126;126
30382;Croatian;WS;23;Male;NA;369;369
30383;Croatian;WS;26;Male;NA;102;102
30384;Croatian;WS;21;Male;NA;183;183
30385;Croatian;WS;21;Male;NA;22;22
30386;Croatian;WS;21;Male;NA;209;209
30387;Croatian;WS;19;Female;NA;125;125
30388;Croatian;WS;16;Male;NA;12;12
30389;Croatian;WS;17;Male;NA;7;7
30390;Croatian;WS;26;Male;NA;210;210
30391;Croatian;WS;22;Female;NA;324;324
30392;Croatian;WS;22;Female;NA;49;49
30393;Croatian;WS;25;Female;NA;120;120
30394;Croatian;WS;17;Female;NA;53;53
30395;Croatian;WS;23;Female;NA;143;143
30396;Croatian;WS;30;Male;NA;460;460
30397;Croatian;WS;29;Male;NA;204;204
30398;Croatian;WS;30;Male;NA;91;91
30399;Croatian;WS;28;Male;NA;290;290
30400;Croatian;WS;25;Female;NA;386;386
30401;Croatian;WS;26;Male;NA;267;267
30402;Croatian;WS;23;Male;NA;147;147
30403;Croatian;WS;20;Male;NA;195;195
30404;Croatian;WS;21;Male;NA;77;77
30405;Croatian;WS;30;Male;NA;294;294
30406;Croatian;WS;29;Male;NA;119;119
30407;Croatian;WS;23;Female;NA;133;133
30408;Croatian;WS;19;Female;NA;255;255
30409;Croatian;WS;21;Female;NA;246;246
30410;Croatian;WS;30;Female;NA;319;319
30411;Croatian;WS;25;Female;NA;278;278
30412;Croatian;WS;17;Male;NA;19;19
30413;Croatian;WS;18;Male;NA;27;27
30414;Croatian;WS;23;Male;NA;44;44
30415;Croatian;WS;27;Male;NA;582;582
30416;Croatian;WS;29;Male;NA;315;315
30417;Croatian;WS;27;Male;NA;443;443
30418;Croatian;WS;20;Male;NA;227;227
30419;Croatian;WS;22;Male;NA;65;65
30420;Croatian;WS;22;Female;NA;313;313
30421;Croatian;WS;26;Female;NA;366;366
30422;Croatian;WS;19;Female;NA;150;150
30423;Croatian;WS;19;Female;NA;15;15
30424;Croatian;WS;17;Female;NA;91;91
30425;Croatian;WS;17;Female;NA;118;118
30426;Croatian;WS;22;Female;NA;278;278
